Date,Value
Nov 1986,38.6
Dec 1986,16.9
Jan 1987,11.3
Feb 1987,9.3
Mar 1987,16.7
Apr 1987,21.6
May 1987,44.8
Jun 1987,115.8
Jul 1987,206.9
Aug 1987,237.1
Sep 1987,137.5
Oct 1987,86.7
Nov 1987,54.2
Dec 1987,23.5
Jan 1988,2.5
Feb 1988,11.2
Mar 1988,18.8
Apr 1988,31.9
May 1988,50.3
Jun 1988,156.5
Jul 1988,323.2
Aug 1988,276.2
Sep 1988,205.6
Oct 1988,50.2
Nov 1988,22.5
Dec 1988,10.2
Jan 1989,6.1
Feb 1989,3.8
Mar 1989,19.1
Apr 1989,16.6
May 1989,42.6
Jun 1989,183.6
Jul 1989,286.2
Aug 1989,231.1
Sep 1989,165.8
Oct 1989,48.6
Nov 1989,14.9
Dec 1989,12.1
Jan 1990,5.2
Feb 1990,25.7
Mar 1990,23.7
Apr 1990,30
May 1990,107.7
Jun 1990,172.1
Jul 1990,263.1
Aug 1990,283.4
Sep 1990,190.1
Oct 1990,100.7
Nov 1990,33.5
Dec 1990,8.8
Jan 1991,8.1
Feb 1991,7.7
Mar 1991,12.4
Apr 1991,28.8
May 1991,45.8
Jun 1991,179
Jul 1991,254.4
Aug 1991,231.3
Sep 1991,120.6
Oct 1991,59.5
Nov 1991,34.7
Dec 1991,12.5
Jan 1992,6.3
Feb 1992,9.5
Mar 1992,4.7
Apr 1992,15.5
May 1992,45.6
Jun 1992,124.7
Jul 1992,233.5
Aug 1992,270.1
Sep 1992,156.6
Oct 1992,62.9
Nov 1992,48.7
Dec 1992,6.8
Jan 1993,3.7
Feb 1993,14.7
Mar 1993,17.8
Apr 1993,26.3
May 1993,60.8
Jun 1993,182.1
Jul 1993,281.4
Aug 1993,198.8
Sep 1993,203.9
Oct 1993,89.8
Nov 1993,29
Dec 1993,21.9
Jan 1994,13.2
Feb 1994,20
Mar 1994,13.1
Apr 1994,39.6
May 1994,40.5
Jun 1994,216.4
Jul 1994,322
Aug 1994,269.7
Sep 1994,144
Oct 1994,88.3
Nov 1994,33
Dec 1994,3.6
Jan 1995,27
Feb 1995,12.4
Mar 1995,16.6
Apr 1995,19.4
May 1995,85.4
Jun 1995,128
Jul 1995,274.8
Aug 1995,232.6
Sep 1995,164.8
Oct 1995,84.2
Nov 1995,37.8
Dec 1995,5.8
Jan 1996,13.2
Feb 1996,17.7
Mar 1996,13.1
Apr 1996,26.6
May 1996,42.5
Jun 1996,188.9
Jul 1996,244.7
Aug 1996,275.7
Sep 1996,150.2
Oct 1996,94.3
Nov 1996,16.1
Dec 1996,15.8
Jan 1997,10.5
Feb 1997,4.3
Mar 1997,14.7
Apr 1997,42.6
May 1997,42.8
Jun 1997,180.1
Jul 1997,260.5
Aug 1997,263.3
Sep 1997,167.5
Oct 1997,74.5
Nov 1997,59.4
Dec 1997,56.5
Jan 1998,14.1
Feb 1998,15
Mar 1998,25.8
Apr 1998,28.4
May 1998,46.2
Jun 1998,149.9
Jul 1998,257.5
Aug 1998,242.1
Sep 1998,209.5
Oct 1998,115.9
Nov 1998,48.9
Dec 1998,10.8
Jan 1999,4.2
Feb 1999,11.6
Mar 1999,3.1
Apr 1999,14.8
May 1999,96.5
Jun 1999,176.1
Jul 1999,248.1
Aug 1999,213.1
Sep 1999,185
Oct 1999,121.9
Nov 1999,16.8
Dec 1999,3.7
Jan 2000,5.5
Feb 2000,25.3
Mar 2000,7.8
Apr 2000,30.2
May 2000,82.8
Jun 2000,186.8
Jul 2000,249.4
Aug 2000,209.7
Sep 2000,131.5
Oct 2000,42.5
Nov 2000,13
Dec 2000,7.1
Jan 2001,4.8
Feb 2001,6.4
Mar 2001,11.8
Apr 2001,40.1
May 2001,63.1
Jun 2001,230.9
Jul 2001,263
Aug 2001,188.9
Sep 2001,111.9
Oct 2001,112
Nov 2001,22
Dec 2001,6.6
Jan 2002,11.2
Feb 2002,18.5
Mar 2002,10.7
Apr 2002,28.9
May 2002,59.5
Jun 2002,171.9
Jul 2002,118.5
Aug 2002,239.4
Sep 2002,132.7
Oct 2002,64.8
Nov 2002,22.9
Dec 2002,5
Jan 2003,4.7
Feb 2003,27.4
Mar 2003,18
Apr 2003,28.1
May 2003,31.6
Jun 2003,163.9
Jul 2003,285.4
Aug 2003,223.1
Sep 2003,178.3
Oct 2003,100.6
Nov 2003,15.9
Dec 2003,12.7
Jan 2004,13.3
Feb 2004,3.9
Mar 2004,5.6
Apr 2004,46.8
May 2004,82.7
Jun 2004,164.2
Jul 2004,220.7
Aug 2004,232.7
Sep 2004,129.2
Oct 2004,88
Nov 2004,16.7
Dec 2004,1.9
